Date,WCS Hardisty
11/04/2023,66.83
18/04/2023,62.81
25/04/2023,61.72
02/05/2023,57.03
09/05/2023,57.05
16/05/2023,58.69
23/05/2023,59.09
30/05/2023,58.97
06/06/2023,58.81
13/06/2023,60.32
20/06/2023,58.27
27/06/2023,59.81
04/07/2023,62.22
11/07/2023,63.24
18/07/2023,61.06
25/07/2023,64.88
01/08/2023,66.74
08/08/2023,66.88
15/08/2023,62.71
22/08/2023,60.11
29/08/2023,66.73
05/09/2023,68.4
12/09/2023,70.87
19/09/2023,69.57
26/09/2023,69.74
03/10/2023,59.9
10/10/2023,62.83
17/10/2023,62.68
24/10/2023,59.5
31/10/2023,52.25
07/11/2023,51.02
14/11/2023,52.35
21/11/2023,52.84
28/11/2023,51.77
05/12/2023,51.49
12/12/2023,51.64
19/12/2023,54.02
26/12/2023,52.3
02/01/2024,54.61
09/01/2024,54.02
16/01/2024,54.88
23/01/2024,61.71
30/01/2024,53.64
06/02/2024,57.52
13/02/2024,60.09
20/02/2024,58.6
27/02/2024,62.48
05/03/2024,61.67
12/03/2024,67.07
19/03/2024,66.99
26/03/2024,69.88
02/04/2024,72.81
09/04/2024,71.56
16/04/2024,69.26
23/04/2024,70.38
30/04/2024,65.88
07/05/2024,64.9
14/05/2024,67.85
21/05/2024,66.01
28/05/2024,64.88
04/06/2024,62.14
11/06/2024,63.64
18/06/2024,66.82
25/06/2024,66.27
02/07/2024,67.1
09/07/2024,67.33
16/07/2024,63.42
23/07/2024,60.26
30/07/2024,58
06/08/2024,62.16
13/08/2024,60.72
20/08/2024,60.22
27/08/2024,59.02
03/09/2024,53.04
10/09/2024,53.8
17/09/2024,56.67
24/09/2024,54.52
01/10/2024,61.06
08/10/2024,63.44
15/10/2024,55.44
22/10/2024,59.33
29/10/2024,56.52
05/11/2024,58.32
12/11/2024,55.35
19/11/2024,58.48
26/11/2024,55.38
03/12/2024,54.57
10/12/2024,58.46
17/12/2024,55.66
24/12/2024,57.01
31/12/2024,60.98
07/01/2025,63.36
14/01/2025,61.14
21/01/2025,60.64
28/01/2025,56.28
04/02/2025,57.18
11/02/2025,56.7
18/02/2025,57.24
25/02/2025,56.31
04/03/2025,54.49
11/03/2025,56.4
18/03/2025,57.6
25/03/2025,58.72
01/04/2025,52.57
08/04/2025,50.295
15/04/2025,52.0525
22/04/2025,52.34
29/04/2025,49.458
06/05/2025,49.518
13/05/2025,52.616
20/05/2025,51.005
27/05/2025,50.945
03/06/2025,53.176
10/06/2025,57.332
17/06/2025,61.31
24/06/2025,54.1
01/07/2025,54.62666667
08/07/2025,55.982
15/07/2025,54.236
22/07/2025,53.31
29/07/2025,55.644
05/08/2025,51.34
12/08/2025,50.482
19/08/2025,49.742
26/08/2025,51.198
02/09/2025,51.6275
09/09/2025,51.068
16/09/2025,51.742
23/09/2025,52.49
30/09/2025,50.118
07/10/2025,50.128
14/10/2025,47.065
21/10/2025,46.758
28/10/2025,48.25
04/11/2025,48.498
11/11/2025,47.932
18/11/2025,46.69
25/11/2025,45.82
02/12/2025,46.064
09/12/2025,44.582
16/12/2025,42.906
23/12/2025,44.84666667
30/12/2025,44.1925
06/01/2026,43.136
13/01/2026,45.788
20/01/2026,45.025
27/01/2026,48.298
03/02/2026,48.002
10/02/2026,47.844
17/02/2026,49.68
24/02/2026,51.542
03/03/2026,63.568
10/03/2026,75.93
17/03/2026,79.316
24/03/2026,76.672
31/03/2026,79.86
07/04/2026,75.8275
