sectionNumber,sectionName,documentName,message,type,code,level
1.2,Composition,Composition.001,"Each reference substance used to identify a constituent, impurity or additive in section 1.2 should contain a chemical name in the 'IUPAC name' field of the reference substance.",QLT,QLT057,WARNING
1.2,Composition,Composition.001,"The molecular formula, molecular weight and structural formula of each reference substance must be indicated in the designated fields or a justification for not providing this information must be given in the 'Remarks' field of the reference substance.",BR,BR122,FAILURE
1.2,Composition,Composition.001,"The reference substance for a constituent in section 1.2 is incomplete. For a UVCB substance, the molecular formula and molecular weight of the reference substance must be indicated in the designated fields, or a justification for not providing this information must be given in the related 'Remarks' field.",BR,BR186,FAILURE
1.2,Composition,Composition.001,"Reference substance information is not complete. Each reference substance must contain at least one of the following identifiers in the designated fields: EC number, CAS number, IUPAC name. It is not sufficient to provide this information only in the reference substance name. If you use a reference substance to report (a group of) unknown constituents/impurities in section 1.2, you need to enter in the IUPAC name field: ""Unknown constituents/impurities"". You should specify, as far as possible, the number and nature of these unknown constituents/impurities in the 'Remarks' field of the constituent/impurity block.",BR,BR020,FAILURE
1.2,Composition,Composition.001,"Each reference substance used to identify a constituent, impurity or additive in section 1.2 should contain a chemical name in the 'IUPAC name' field of the reference substance.",QLT,QLT057,WARNING
1.2,Composition,Composition.001,"The molecular formula, molecular weight and structural formula of each reference substance must be indicated in the designated fields or a justification for not providing this information must be given in the 'Remarks' field of the reference substance.",BR,BR122,FAILURE
1.2,Composition,Composition.001,"The reference substance for a constituent in section 1.2 is incomplete. For a UVCB substance, the molecular formula and molecular weight of the reference substance must be indicated in the designated fields, or a justification for not providing this information must be given in the related 'Remarks' field.",BR,BR186,FAILURE
1.2,Composition,Composition.001,"Reference substance information is not complete. Each reference substance must contain at least one of the following identifiers in the designated fields: EC number, CAS number, IUPAC name. It is not sufficient to provide this information only in the reference substance name. If you use a reference substance to report (a group of) unknown constituents/impurities in section 1.2, you need to enter in the IUPAC name field: ""Unknown constituents/impurities"". You should specify, as far as possible, the number and nature of these unknown constituents/impurities in the 'Remarks' field of the constituent/impurity block.",BR,BR020,FAILURE
1.4,Analytical information,Analytical information.001,An indication of the optical activity of the substance should be provided in section 1.4 in the field 'Optical activity'.,QLT,QLT065,WARNING
1.4,Analytical information,,"Section 1.4 is incomplete. No identification method nor results have been provided for the substance. You must create at least one record in section 1.4, and under the 'Analytical determination' heading provide a new entry where the field 'Purpose of analysis' is set to 'identification' or 'identification and quantification'. In the same entry, you must indicate the appropriate 'Analysis type' and attach a document containing the methods and results of the analysis that were used for identifying the substance.",BR,BR228,FAILURE
