Searched Name,Company Number,Registered Name,Confidence,Status,Confidence Level,Companies House URL,,,,,,,,,,Searched Name,Confidence,Compnay Number,Companies House Name,URL,Companies House
Eddie Stobart Ltd,00995045,EDDIE STOBART LIMITED,98%,active,High,https://find-and-update.company-information.service.gov.uk/company/00995045,,,,,,,,,,Eddie Stobart Ltd,98%,00995045,EDDIE STOBART LIMITED,https://find-and-update.company-information.service.gov.uk/company/00995045,Eddie Stobart Ltd
Eddie Stobart Ltd,12052638,EDDIE STOBART DISTRIBUTION LIMITED,45%,active,Low,https://find-and-update.company-information.service.gov.uk/company/12052638,,,,,,,,,,ESL Fuels Ltd,95%,04007349,ESL FUELS LIMITED,https://find-and-update.company-information.service.gov.uk/company/04007349,ESL Fuels Ltd
Eddie Stobart Ltd,03047957,EDDIE STOBART GROUP LIMITED,45%,active,Low,https://find-and-update.company-information.service.gov.uk/company/03047957,,,,,,,,,,Fuel Oil News,25%,00939130,A.B. MOYLAN (FUEL OILS) LIMITED,https://find-and-update.company-information.service.gov.uk/company/00939130,Fuel Oil News
Eddie Stobart Ltd,04277628,EDDIE STOBART LOGISTICS LIMITED,35%,active,Low,https://find-and-update.company-information.service.gov.uk/company/04277628,,,,,,,,,,Go-Ahead Holding Limited,95%,06352308,GO-AHEAD HOLDING LIMITED,https://find-and-update.company-information.service.gov.uk/company/06352308,Go-Ahead Holding Limited
Eddie Stobart Ltd,BR018044,EDDIE STOBART LOGISTICS LIMITED,28%,open,Low,https://find-and-update.company-information.service.gov.uk/company/BR018044,,,,,,,,,,GXO Logistics UK Limited,98%,SC037270,GXO LOGISTICS UK LIMITED,https://find-and-update.company-information.service.gov.uk/company/SC037270,GXO Logistics UK Limited
ESL Fuels Ltd,04007349,ESL FUELS LIMITED,95%,active,High,https://find-and-update.company-information.service.gov.uk/company/04007349,,,,,,,,,,Heltor Limited,100%,00686375,HELTOR LIMITED,https://find-and-update.company-information.service.gov.uk/company/00686375,Heltor Limited
Fuel Oil News,00939130,A.B. MOYLAN (FUEL OILS) LIMITED,25%,active,Low,https://find-and-update.company-information.service.gov.uk/company/00939130,,,,,,,,,,Moto Hospitality Ltd,98%,00734299,MOTO HOSPITALITY LIMITED,https://find-and-update.company-information.service.gov.uk/company/00734299,Moto Hospitality Ltd
Fuel Oil News,01748979,A.D. FUEL OILS LIMITED,25%,active,Low,https://find-and-update.company-information.service.gov.uk/company/01748979,,,,,,,,,,Penny Petroleum (Management) Ltd,98%,07996968,PENNY PETROLEUM (MANAGEMENT) LIMITED,https://find-and-update.company-information.service.gov.uk/company/07996968,Penny Petroleum (Management) Ltd
Fuel Oil News,07161850,A4 FUEL OILS LTD,25%,active,Low,https://find-and-update.company-information.service.gov.uk/company/07161850,,,,,,,,,,Roadchef Limited,98%,01713437,ROADCHEF LIMITED,https://find-and-update.company-information.service.gov.uk/company/01713437,Roadchef Limited
Fuel Oil News,NI030281,A H FUEL OILS LTD,25%,active,Low,https://find-and-update.company-information.service.gov.uk/company/NI030281,,,,,,,,,,S J Bargh Ltd,98%,00532272,S.J.BARGH LIMITED,https://find-and-update.company-information.service.gov.uk/company/00532272,S J Bargh Ltd
