Searched Name,Company Number,Registered Name,Confidence,Status,Confidence Level,Companies House URL,,,,,,,,,,Searched Name,Confidence,Company Number,Companies House Name,URL,Companies House
A. Rhodes Jnr Caravans Ltd,14650852,A RHODES JNR CARAVANS LTD,98%,active,High,https://find-and-update.company-information.service.gov.uk/company/14650852,,,,,,,,,,A. Rhodes Jnr Caravans Ltd,98%,14650852,A RHODES JNR CARAVANS LTD,https://find-and-update.company-information.service.gov.uk/company/14650852,A. Rhodes Jnr Caravans Ltd
A. Rhodes Jnr Caravans Ltd,16006695,A RHODES JNR HOLDINGS LTD,45%,active,Low,https://find-and-update.company-information.service.gov.uk/company/16006695,,,,,,,,,,A.Clarke & Co.(Smethwick)Limited,99%,00580331,A.CLARKE & CO.(SMETHWICK)LIMITED,https://find-and-update.company-information.service.gov.uk/company/00580331,A.Clarke & Co.(Smethwick)Limited
A. Rhodes Jnr Caravans Ltd,,,,,No match,,,,,,,,,,,A.G. Parfett & Sons Ltd,98%,01472970,A.G. PARFETT & SONS LIMITED,https://find-and-update.company-information.service.gov.uk/company/01472970,A.G. Parfett & Sons Ltd
A.Clarke & Co.(Smethwick)Limited,00580331,A.CLARKE & CO.(SMETHWICK)LIMITED,99%,active,High,https://find-and-update.company-information.service.gov.uk/company/00580331,,,,,,,,,,Alba Travel Ltd,98%,04445407,ALBA TRAVEL LIMITED,https://find-and-update.company-information.service.gov.uk/company/04445407,Alba Travel Ltd
A.Clarke & Co.(Smethwick)Limited,,,,,No match,,,,,,,,,,,Albion Fine Foods Ltd,98%,10379589,ALBION FINE FOODS LIMITED,https://find-and-update.company-information.service.gov.uk/company/10379589,Albion Fine Foods Ltd
A.G. Parfett & Sons Ltd,01472970,A.G. PARFETT & SONS LIMITED,98%,active,High,https://find-and-update.company-information.service.gov.uk/company/01472970,,,,,,,,,,Alpha Aggregates Ltd,98%,05742419,ALPHA AGGREGATES LIMITED,https://find-and-update.company-information.service.gov.uk/company/05742419,Alpha Aggregates Ltd
A.G. Parfett & Sons Ltd,,,,,No match,,,,,,,,,,,Apath Limited,98%,10370154,APATH LIMITED,https://find-and-update.company-information.service.gov.uk/company/10370154,Apath Limited
Alba Travel Ltd,04445407,ALBA TRAVEL LIMITED,98%,active,High,https://find-and-update.company-information.service.gov.uk/company/04445407,,,,,,,,,,Aquaid Franchising Ltd Birmingham,98%,03505477,AQUAID FRANCHISING LIMITED,https://find-and-update.company-information.service.gov.uk/company/03505477,Aquaid Franchising Ltd Birmingham
Alba Travel Ltd,SC063542,ALBA TRAVEL (INVERNESS) LIMITED,75%,dissolved,Medium,https://find-and-update.company-information.service.gov.uk/company/SC063542,,,,,,,,,,Aquaid Franchising Ltd Brampton,98%,03505477,AQUAID FRANCHISING LIMITED,https://find-and-update.company-information.service.gov.uk/company/03505477,Aquaid Franchising Ltd Brampton
Alba Travel Ltd,04534551,ALBAN TRAVEL LIMITED,60%,active,Medium,https://find-and-update.company-information.service.gov.uk/company/04534551,,,,,,,,,,Aquaid Franchising Ltd Glasgow,98%,03505477,AQUAID FRANCHISING LIMITED,https://find-and-update.company-information.service.gov.uk/company/03505477,Aquaid Franchising Ltd Glasgow
Albion Fine Foods Ltd,10379589,ALBION FINE FOODS LIMITED,98%,active,High,https://find-and-update.company-information.service.gov.uk/company/10379589,,,,,,,,,,Aquaid Franchising Ltd Liverpool,98%,03505477,AQUAID FRANCHISING LIMITED,https://find-and-update.company-information.service.gov.uk/company/03505477,Aquaid Franchising Ltd Liverpool
Albion Fine Foods Ltd,10385645,ALBION FOODS LIMITED,70%,active,Medium,https://find-and-update.company-information.service.gov.uk/company/10385645,,,,,,,,,,Aquaid Franchising Ltd South Coast,98%,03505477,AQUAID FRANCHISING LIMITED,https://find-and-update.company-information.service.gov.uk/company/03505477,Aquaid Franchising Ltd South Coast
Albion Fine Foods Ltd,03511147,ALBION FINE WINES LTD,28%,active,Low,https://find-and-update.company-information.service.gov.uk/company/03511147,,,,,,,,,,Avonvale Distributions Ltd,100%,12999613,AVONVALE DISTRIBUTIONS LTD,https://find-and-update.company-information.service.gov.uk/company/12999613,Avonvale Distributions Ltd
Alpha Aggregates Ltd,05742419,ALPHA AGGREGATES LIMITED,98%,active,High,https://find-and-update.company-information.service.gov.uk/company/05742419,,,,,,,,,,Bemor Building Contractors Ltd,98%,01219425,BEMOR BUILDING CONTRACTORS LIMITED,https://find-and-update.company-information.service.gov.uk/company/01219425,Bemor Building Contractors Ltd
