Searched Name,Company Number,Registered Name,Confidence,Status,Confidence Level,Companies House URL,,,,,,,,,,Searched Name,Confidence,Compnay Number,,URL,Companies House
Adams and Green Limited,07848135,ADAMS AND GREEN LIMITED,98.00%,active,High,https://find-and-update.company-information.service.gov.uk/company/07848135,,,,,,,,,,Adams and Green Limited,98%,07848135,ADAMS AND GREEN LIMITED,https://find-and-update.company-information.service.gov.uk/company/07848135,Adams and Green Limited
Adams and Green Limited,16856976,ADAMS AND GREEN HOLDINGS LIMITED,45.00%,active,Low,https://find-and-update.company-information.service.gov.uk/company/16856976,,,,,,,,,,Bagnall & Morris (Waste Services) Ltd,98%,03473370,BAGNALL & MORRIS (WASTE SERVICES) LTD,https://find-and-update.company-information.service.gov.uk/company/03473370,Bagnall & Morris (Waste Services) Ltd
Adams and Green Limited,11328495,ADAMS AND GREEN MEDICAL SERVICES LTD.,30.00%,dissolved,Low,https://find-and-update.company-information.service.gov.uk/company/11328495,,,,,,,,,,Boilerjuice Limited,98%,05345637,BOILERJUICE LIMITED,https://find-and-update.company-information.service.gov.uk/company/05345637,Boilerjuice Limited
Bagnall & Morris (Waste Services) Ltd,03473370,BAGNALL & MORRIS (WASTE SERVICES) LTD,98.00%,active,High,https://find-and-update.company-information.service.gov.uk/company/03473370,,,,,,,,,,Brandsby Agricultural Trading Association Ltd,100%,IP03289R,BRANDSBY AGRICULTURAL TRADING ASSOCIATION LIMITED,https://find-and-update.company-information.service.gov.uk/company/IP03289R,Brandsby Agricultural Trading Association Ltd
Boilerjuice Limited,05345637,BOILERJUICE LIMITED,98.00%,active,High,https://find-and-update.company-information.service.gov.uk/company/05345637,,,,,,,,,,Centrebus Ltd,95%,03872099,CENTREBUS LIMITED,https://find-and-update.company-information.service.gov.uk/company/03872099,Centrebus Ltd
Brandsby Agricultural Trading Association Ltd,IP03289R,BRANDSBY AGRICULTURAL TRADING ASSOCIATION LIMITED,100.00%,active,High,https://find-and-update.company-information.service.gov.uk/company/IP03289R,,,,,,,,,,Craig of Campbeltown Ltd,98%,SC033868,CRAIG OF CAMPBELTOWN LIMITED,https://find-and-update.company-information.service.gov.uk/company/SC033868,Craig of Campbeltown Ltd
Centrebus Ltd,03872099,CENTREBUS LIMITED,95.00%,active,High,https://find-and-update.company-information.service.gov.uk/company/03872099,,,,,,,,,,D&G Bus Ltd,95%,06918592,D & G BUS LIMITED,https://find-and-update.company-information.service.gov.uk/company/06918592,D&G Bus Ltd
Centrebus Ltd,06544272,CENTREBUS HOLDINGS LIMITED,35.00%,active,Low,https://find-and-update.company-information.service.gov.uk/company/06544272,,,,,,,,,,David Cover And Son Ltd,98%,00396804,DAVID COVER AND SON LIMITED,https://find-and-update.company-information.service.gov.uk/company/00396804,David Cover And Son Ltd
Centrebus Ltd,07684224,CENTREBUS EAST LTD,30.00%,active,Low,https://find-and-update.company-information.service.gov.uk/company/07684224,,,,,,,,,,Dennis Distribution LLP,100%,OC371978,DENNIS DISTRIBUTION LLP,https://find-and-update.company-information.service.gov.uk/company/OC371978,Dennis Distribution LLP
Centrebus Ltd,05649134,CENTREBUS NORTH LIMITED,28.00%,active,Low,https://find-and-update.company-information.service.gov.uk/company/05649134,,,,,,,,,,Estuary Oils Limited,99%,07622278,ESTUARY OILS LIMITED,https://find-and-update.company-information.service.gov.uk/company/07622278,Estuary Oils Limited
Craig of Campbeltown Ltd,SC033868,CRAIG OF CAMPBELTOWN LIMITED,98.00%,active,High,https://find-and-update.company-information.service.gov.uk/company/SC033868,,,,,,,,,,Expert Logistics Ltd,98%,03442571,EXPERT LOGISTICS LTD.,https://find-and-update.company-information.service.gov.uk/company/03442571,Expert Logistics Ltd
D&G Bus Ltd,06918592,D & G BUS LIMITED,95.00%,active,High,https://find-and-update.company-information.service.gov.uk/company/06918592,,,,,,,,,,Grant Palmer Ltd,95%,07183222,GRANT PALMER LIMITED,https://find-and-update.company-information.service.gov.uk/company/07183222,Grant Palmer Ltd
David Cover And Son Ltd,00396804,DAVID COVER AND SON LIMITED,98.00%,active,High,https://find-and-update.company-information.service.gov.uk/company/00396804,,,,,,,,,,Heltor Limited,99%,00686375,HELTOR LIMITED,https://find-and-update.company-information.service.gov.uk/company/00686375,Heltor Limited
David Cover And Son Ltd,00565282,ANDREW DAVIDSON & SON LIMITED,30.00%,active,Low,https://find-and-update.company-information.service.gov.uk/company/00565282,,,,,,,,,,Highland Fuels Ltd,98%,SC032343,HIGHLAND FUELS LIMITED,https://find-and-update.company-information.service.gov.uk/company/SC032343,Highland Fuels Ltd
David Cover And Son Ltd,11687398,DAVID AND SONS REMOVALS AND STORAGE LTD,25.00%,active,Low,https://find-and-update.company-information.service.gov.uk/company/11687398,,,,,,,,,,Hingley & Callow Oils Limited,100%,12249030,HINGLEY & CALLOW OILS LIMITED,https://find-and-update.company-information.service.gov.uk/company/12249030,Hingley & Callow Oils Limited
Dennis Distribution LLP,OC371978,DENNIS DISTRIBUTION LLP,100.00%,active,High,https://find-and-update.company-information.service.gov.uk/company/OC371978,,,,,,,,,,Howard Tenens Ltd,95%,06690158,HOWARD TENENS LIMITED,https://find-and-update.company-information.service.gov.uk/company/06690158,Howard Tenens Ltd
Estuary Oils Limited,07622278,ESTUARY OILS LIMITED,99.00%,active,High,https://find-and-update.company-information.service.gov.uk/company/07622278,,,,,,,,,,Isles of Scilly Shipping Company Ltd,98%,05012204,ISLES OF SCILLY SHIPPING COMPANY LIMITED,https://find-and-update.company-information.service.gov.uk/company/05012204,Isles of Scilly Shipping Company Ltd
Estuary Oils Limited,12926272,ESTUARY FUEL OILS LIMITED,45.00%,active,Low,https://find-and-update.company-information.service.gov.uk/company/12926272,,,,,,,,,,Isles of Scilly Skybus Limited,99%,01802523,ISLES OF SCILLY SKYBUS LIMITED,https://find-and-update.company-information.service.gov.uk/company/01802523,Isles of Scilly Skybus Limited
Expert Logistics Ltd,03442571,EXPERT LOGISTICS LTD.,98.00%,active,High,https://find-and-update.company-information.service.gov.uk/company/03442571,,,,,,,,,,Johnston Oils Ltd,95%,SC097681,JOHNSTON OILS LIMITED,https://find-and-update.company-information.service.gov.uk/company/SC097681,Johnston Oils Ltd
Grant Palmer Ltd,07183222,GRANT PALMER LIMITED,95.00%,active,High,https://find-and-update.company-information.service.gov.uk/company/07183222,,,,,,,,,,Massey Bros (Feeds) Ltd,98%,00581091,MASSEY BROS (FEEDS) LTD.,https://find-and-update.company-information.service.gov.uk/company/00581091,Massey Bros (Feeds) Ltd
Heltor Limited,00686375,HELTOR LIMITED,99.00%,active,High,https://find-and-update.company-information.service.gov.uk/company/00686375,,,,,,,,,,McGill’s Bus Service Ltd,95%,SC027238,MCGILL'S BUS SERVICE LIMITED,https://find-and-update.company-information.service.gov.uk/company/SC027238,McGill’s Bus Service Ltd
Highland Fuels Ltd,SC032343,HIGHLAND FUELS LIMITED,98.00%,active,High,https://find-and-update.company-information.service.gov.uk/company/SC032343,,,,,,,,,,Nirva Energy Ltd,100%,13869934,NIRVA ENERGY LTD,https://find-and-update.company-information.service.gov.uk/company/13869934,Nirva Energy Ltd
Highland Fuels Ltd,SC215790,HIGHLAND FUELS HOLDINGS LIMITED,45.00%,active,Low,https://find-and-update.company-information.service.gov.uk/company/SC215790,,,,,,,,,,Northern Energy Gas Ltd,95%,06894408,NORTHERN ENERGY GAS LIMITED,https://find-and-update.company-information.service.gov.uk/company/06894408,Northern Energy Gas Ltd
Highland Fuels Ltd,SC361091,HIGHLAND FUELS (INVESTMENTS) LIMITED,42.00%,active,Low,https://find-and-update.company-information.service.gov.uk/company/SC361091,,,,,,,,,,Oxalis Logistics UK Ltd,95%,01164085,OXALIS LOGISTICS UK LIMITED,https://find-and-update.company-information.service.gov.uk/company/01164085,Oxalis Logistics UK Ltd
Highland Fuels Ltd,SC780102,HIGHLAND FUELS TRUSTEES LIMITED,35.00%,active,Low,https://find-and-update.company-information.service.gov.uk/company/SC780102,,,,,,,,,,Post Office Limited,98%,02154540,POST OFFICE LIMITED,https://find-and-update.company-information.service.gov.uk/company/02154540,Post Office Limited
Highland Fuels Ltd,SC749024,HIGHLAND HAND-CUT FUELS LIMITED,28.00%,dissolved,Low,https://find-and-update.company-information.service.gov.uk/company/SC749024,,,,,,,,,,Regroup (UK) Limited,98%,04452627,REGROUP (UK) LIMITED,https://find-and-update.company-information.service.gov.uk/company/04452627,Regroup (UK) Limited
Hingley & Callow Oils Limited,12249030,HINGLEY & CALLOW OILS LIMITED,100.00%,active,High,https://find-and-update.company-information.service.gov.uk/company/12249030,,,,,,,,,,Selwyns Travel Ltd,95%,01385533,SELWYNS TRAVEL LIMITED,https://find-and-update.company-information.service.gov.uk/company/01385533,Selwyns Travel Ltd
Hingley & Callow Oils Limited,14572977,HINGLEY & CALLOW OILS HOLDINGS LIMITED,65.00%,active,Medium,https://find-and-update.company-information.service.gov.uk/company/14572977,,,,,,,,,,Stalkers Transport Services Ltd,100%,01941795,STALKERS TRANSPORT SERVICES LTD,https://find-and-update.company-information.service.gov.uk/company/01941795,Stalkers Transport Services Ltd
Hingley & Callow Oils Limited,04022195,CALLOW OILS LIMITED,30.00%,active,Low,https://find-and-update.company-information.service.gov.uk/company/04022195,,,,,,,,,,Stephensons of Essex Limited,100%,01815977,STEPHENSONS OF ESSEX LIMITED,https://find-and-update.company-information.service.gov.uk/company/01815977,Stephensons of Essex Limited
Howard Tenens Ltd,06690158,HOWARD TENENS LIMITED,95.00%,active,High,https://find-and-update.company-information.service.gov.uk/company/06690158,,,,,,,,,,Stephensons of Essex Ltd,98%,01815977,STEPHENSONS OF ESSEX LIMITED,https://find-and-update.company-information.service.gov.uk/company/01815977,Stephensons of Essex Ltd
