"Searched Name","Company Number","Registered Name","Confidence","Status","Confidence Level","Companies House URL"
"645 Services Ltd","07872493","645 SERVICES LTD","98%","active","High","https://find-and-update.company-information.service.gov.uk/company/07872493"
"A.Clarke & Co.(Smethwick)Limited",,,,"","No match",""
"Abbey Logistics Group Ltd",,,,"","No match",""
"Aggregates R US Ltd",,,,"","No match",""
"Autoblue",,,,"","No match",""
"B.J.Waters (Transport) Ltd","00703281","B.J.WATERS (TRANSPORT) LIMITED","95%","active","High","https://find-and-update.company-information.service.gov.uk/company/00703281"
"B.W.O.C Limited",,,,"","No match",""
"Blackpool Transport Services Ltd",,,,"","No match",""
"Bowring Transport Ltd","01212048","BOWRING TRANSPORT LIMITED","98%","active","High","https://find-and-update.company-information.service.gov.uk/company/01212048"
"Bowring Transport Ltd","15447532","BOWRING LTD","60%","active","Medium","https://find-and-update.company-information.service.gov.uk/company/15447532"
"Bowring Transport Ltd","00906484","A.E. BOWRING & SONS LIMITED","35%","active","Low","https://find-and-update.company-information.service.gov.uk/company/00906484"
"Browns Manufacturing T/A Mostell Logistics",,,,"","No match",""
"Cardiff City Transport Services Ltd","02001229","CARDIFF CITY TRANSPORT SERVICES LIMITED","98%","active","High","https://find-and-update.company-information.service.gov.uk/company/02001229"
"Carrs Billington Agriculture (Sales) Ltd",,,,"","No match",""
"Chris Hayter Transport Ltd","01183217","CHRIS HAYTER TRANSPORT LIMITED","98%","active","High","https://find-and-update.company-information.service.gov.uk/company/01183217"
"Chris Hayter Transport Ltd","16315198","LOAD4YOU HAULAGE LTD","20%","active","Low","https://find-and-update.company-information.service.gov.uk/company/16315198"
"Churchill Freight Services Limited","01493111","CHURCHILL FREIGHT SERVICES LIMITED","100%","active","High","https://find-and-update.company-information.service.gov.uk/company/01493111"
"Clarendon Haulage Co. Ltd",,,,"","No match",""
"Craggs Energy Limited",,,,"","No match",""
"Damac Transporters Ltd",,,,"","No match",""
"Downstream Energy Ltd",,,,"","No match",""
"Expert Logistics Limited.","03442571","EXPERT LOGISTICS LTD.","98%","active","High","https://find-and-update.company-information.service.gov.uk/company/03442571"
"Expert Logistics Limited.","07037057","EXPERT LOGISTICS SOLUTIONS LIMITED","65%","active","Medium","https://find-and-update.company-information.service.gov.uk/company/07037057"
"Expert Logistics Limited.","16068157","AJR EXPERT LOGISTICS LIMITED","45%","dissolved","Low","https://find-and-update.company-information.service.gov.uk/company/16068157"
"Expert Logistics Limited.","SC645770","BARRY'S EXPERT LOGISTICS LTD","30%","active","Low","https://find-and-update.company-information.service.gov.uk/company/SC645770"
"Ford Fuel Oils Limited",,,,"","No match",""
"Fox Brothers (Lancashire) Ltd",,,,"","No match",""
"Fox Brothers (Leyland) Ltd","01853066","FOX BROTHERS (LEYLAND) LTD","98%","active","High","https://find-and-update.company-information.service.gov.uk/company/01853066"
"Fox Brothers (Leyland) Ltd","13463192","PFAF (LEYLAND) LTD","30%","active","Low","https://find-and-update.company-information.service.gov.uk/company/13463192"
"Frank Ogara & Sons Limited","03057185","FRANK O'GARA & SONS LIMITED","95%","active","High","https://find-and-update.company-information.service.gov.uk/company/03057185"
"Frank Ogara & Sons Limited","05465056","O'GARA AND SONS LIMITED","30%","active","Low","https://find-and-update.company-information.service.gov.uk/company/05465056"
"Frank Ogara & Sons Limited","10625644","FRANK & SONS ELECTRICAL LIMITED","28%","active","Low","https://find-and-update.company-information.service.gov.uk/company/10625644"
"Frank Ogara & Sons Limited","15476498","FRANK & SONS BUCKS LTD","28%","active","Low","https://find-and-update.company-information.service.gov.uk/company/15476498"
"Friar's Pride Ltd",,,,"","No match",""
"George Walker Transport Limited",,,,"","No match",""
"GJ Goff","07119853","BARRATT, GOFF & TOMLINSON LIMITED","45%","active","Low","https://find-and-update.company-information.service.gov.uk/company/07119853"
"GJ Goff","17043713","BBX GOFFS OAK LIMITED","35%","active","Low","https://find-and-update.company-information.service.gov.uk/company/17043713"
"GJ Goff","11156288","ANGLE HOUSE GOFFS OAK LTD","34%","active","Low","https://find-and-update.company-information.service.gov.uk/company/11156288"
"GJ Goff","10296520","ASHFIELD GOFFS OAK. LIMITED","33%","active","Low","https://find-and-update.company-information.service.gov.uk/company/10296520"
"GJ Goff","15094919","GJG OFFSHORE LIMITED","28%","dissolved","Low","https://find-and-update.company-information.service.gov.uk/company/15094919"
"Grahams The Family Dairy Group Limited",,,,"","No match",""
"Greenarc Fuel Cards Ltd","08992973","GREENARC FUEL CARDS LIMITED","95%","dissolved","High","https://find-and-update.company-information.service.gov.uk/company/08992973"
"Greenarc Ltd","07073877","GREENARC LIMITED","90%","active","High","https://find-and-update.company-information.service.gov.uk/company/07073877"
"Greenarc Ltd","13560095","GREENARC LTD","85%","dissolved","High","https://find-and-update.company-information.service.gov.uk/company/13560095"
"Greenarc Ltd","08662921","GREENARC DEVELOPMENT LTD.","40%","active","Low","https://find-and-update.company-information.service.gov.uk/company/08662921"
"Greenarc Ltd","13626179","GREENARC ENERGY LIMITED","35%","active","Low","https://find-and-update.company-information.service.gov.uk/company/13626179"
"H&M Distribution Ltd","14188445","H&M DISTRIBUTION GROUP LIMITED","70%","active","Medium","https://find-and-update.company-information.service.gov.uk/company/14188445"
"H&M Distribution Ltd","11622028","H&M DISTRIBUTION COURIERS LIMITED","55%","dissolved","Medium","https://find-and-update.company-information.service.gov.uk/company/11622028"
"H&M Distribution Ltd","11622284","H&M DISTRIBUTION (EAST) LIMITED","40%","dissolved","Low","https://find-and-update.company-information.service.gov.uk/company/11622284"
